,link,price,condo_fee,bedrooms,bathrooms,vacancies,total_area_m2,address,description,rua,bairro
37,/imovel/venda-apartamento-3-quartos-com-piscina-enseada-do-sua-vitoria-es-110m2-id-2625918974/,1299900.0,850.0,3,3,2,110,"Rua Humberto Martins de Paula, Enseada do Suá","Apartamento com 3 dormitórios à venda, 110 m² por R$ 1.299.900,00 - Enseada do Suá - Vitória/ES",Rua Humberto Martins de Paula, Enseada do Suá
38,/imovel/venda-apartamento-3-quartos-com-piscina-jardim-da-penha-vitoria-es-76m2-id-2573559573/,900000.0,500.0,3,2,2,76,"Rua Eugenílio Ramos, Jardim da Penha",Apartamento para venda tem 76 metros quadrados com 3 quartos em Jardim da Penha - Vitória - ES,Rua Eugenílio Ramos, Jardim da Penha
39,/imovel/venda-apartamento-2-quartos-com-piscina-santa-luiza-vitoria-es-65m2-id-2625471164/,460000.0,650.0,2,2,1,65,"Rua Vitalino dos Santos Valadares, Santa Luíza",Apartamento para venda possui 65 metros quadrados com 2 quartos em Santa Luíza - Vitória - ES,Rua Vitalino dos Santos Valadares, Santa Luíza
40,/imovel/venda-apartamento-3-quartos-mobiliado-jardim-camburi-vitoria-es-83m2-id-2614582693/,690000.0,390.0,3,2,2,83,"Rua Ruy Pinto Bandeira, Jardim Camburi",Apartamento para venda tem 83 metros quadrados com 3 quartos em Jardim Camburi - Vitória - ES,Rua Ruy Pinto Bandeira, Jardim Camburi
41,/imovel/venda-apartamento-2-quartos-com-churrasqueira-jardim-da-penha-vitoria-es-55m2-id-2626023963/,539000.0,256.0,2,2,1,55,"Rua Arthur Czartoryski, Jardim da Penha",Apartamento em Jardim da Penha - Vitória - ES,Rua Arthur Czartoryski, Jardim da Penha
42,/imovel/venda-apartamento-2-quartos-com-piscina-jardim-camburi-vitoria-es-55m2-id-2625705365/,449000.0,360.0,2,2,1,55,"Rua Fortunato Abreu Gagno, Jardim Camburi","Apartamento com 2 dormitórios à venda, 55 m² por R$ 449.000,00 - Jardim Camburi - Vitória/ES",Rua Fortunato Abreu Gagno, Jardim Camburi
43,/imovel/venda-apartamento-3-quartos-mobiliado-jardim-camburi-vitoria-es-72m2-id-2625986104/,720000.0,1.0,3,1,2,72,"Rua Gelu Vervloet dos Santos, Jardim Camburi",PS - APARTAMENTO 3 QUARTOS COM SUÍTE TODO REFORMADO E DUAS VAGAS DE GARAGEM EM JARDIM CAMBURI,Rua Gelu Vervloet dos Santos, Jardim Camburi
44,/imovel/venda-apartamento-3-quartos-maruipe-vitoria-es-87m2-id-2626025766/,200000.0,,3,2,2,87,"Rua Dom Pedro I, Maruípe",05- Apartamento em Maruípe,Rua Dom Pedro I, Maruípe
45,/imovel/venda-apartamento-3-quartos-com-churrasqueira-santa-helena-vitoria-es-130m2-id-2625661815/,950000.0,130.0,3,3,1,130,"Rua Almirante Soído, Santa Helena",Linda vista - Amplo 03 quartos/ suíte - P. Santa Helena !!!,Rua Almirante Soído, Santa Helena
46,/imovel/venda-apartamento-3-quartos-com-piscina-jardim-camburi-vitoria-es-85m2-id-2579658788/,645000.0,0.0,3,2,2,85,"Rua Oswaldo Bastos de Souza Freitas, Jardim Camburi",Apartamento 03 quartos c/suíte em Jardim Camburi - Vitória - ES - Não é vendido Decorado,Rua Oswaldo Bastos de Souza Freitas, Jardim Camburi
47,/imovel/venda-apartamento-3-quartos-mobiliado-jardim-camburi-vitoria-es-112m2-id-2626026373/,840000.0,530.0,3,3,2,112,"Rua Júlia Lacourt Penna, Jardim Camburi","OPORTUNIDADE! APARTAMENTO 3 QUARTOS, 2 SUITES, HIDROMASSAGEM SOL DA MANHA EM JARDIM CAMBURI",Rua Júlia Lacourt Penna, Jardim Camburi
48,/imovel/venda-apartamento-2-quartos-jardim-camburi-vitoria-es-70m2-id-2625875158/,300000.0,324.0,2,2,1,70,"Rua Silvino Grecco, Jardim Camburi",Apartamento com 2 dormitórios à venda em Vitória,Rua Silvino Grecco, Jardim Camburi
49,/imovel/venda-apartamento-2-quartos-mobiliado-santa-lucia-vitoria-es-60m2-id-2625737017/,650000.0,600.0,2,2,1,60,Santa Lúcia,Apartamento com 2 dormitórios todo montado e decorado por R$ 650.000 -,Santa Lúcia,
50,/imovel/venda-apartamento-3-quartos-mobiliado-jardim-camburi-vitoria-es-88m2-id-2620248818/,980000.0,750.0,3,2,2,88,"Avenida Governador Eurico Rezende, Jardim Camburi",Apartamento para venda possui 88 metros quadrados com 3 quartos em Jardim Camburi - Vitória - ES,Avenida Governador Eurico Rezende, Jardim Camburi
51,/imovel/venda-apartamento-3-quartos-com-piscina-jardim-camburi-vitoria-es-107m2-id-2618351358/,950000.0,1.0,3,3,2,107,"Avenida Ranulpho Barbosa dos Santos, Jardim Camburi",NL Lindíssimo Apto de 3Q c/Suíte – Planejado e reformado e com Varandão na quadra do mar,Avenida Ranulpho Barbosa dos Santos, Jardim Camburi
52,/imovel/venda-apartamento-3-quartos-parque-moscoso-vitoria-es-192m2-id-2625924686/,400000.0,680.0,3,3,1,192,"Rua Doutor João dos Santos Neves, Parque Moscoso","Apartamento para Venda em Vitória, Parque Moscoso, 3 dormitórios, 1 suíte, 3 banheiros, 1 vaga",Rua Doutor João dos Santos Neves, Parque Moscoso
53,/imovel/venda-apartamento-2-quartos-com-piscina-santa-lucia-vitoria-es-60m2-id-2526801308/,550000.0,550.0,2,1,2,60,"Avenida Rio Branco, Santa Lúcia",Apartamento para venda possui 60 m² com 02 quartos sendo 01 suíte em Santa Lúcia - Vitória - ES,Avenida Rio Branco, Santa Lúcia
54,/imovel/venda-apartamento-4-quartos-com-piscina-enseada-do-sua-vitoria-es-180m2-id-2625692899/,2400000.0,1805.0,4,6,4,180,"Avenida Nossa Senhora dos Navegantes, Enseada do Suá",Apartamento com 4 suítes em localização privilegiada na Enseada do Suá - Vitória,Avenida Nossa Senhora dos Navegantes, Enseada do Suá
55,/imovel/venda-apartamento-2-quartos-com-cozinha-jardim-da-penha-vitoria-es-90m2-id-2625571169/,590000.0,300.0,2,2,1,90,Jardim da Penha,"Venda | Apartamento com 90,00 m², 2 dormitório(s), 1 vaga(s). Jardim da Penha, Vitória",Jardim da Penha,
56,/imovel/venda-apartamento-3-quartos-com-piscina-bento-ferreira-vitoria-es-75m2-id-2620676081/,680000.0,550.0,3,2,1,75,"Servidão Francisco Soares de Souza, Bento Ferreira","Apartamento para venda com 3 quartos, suite e lazer em Bento Ferreira - Vitória - ES",Servidão Francisco Soares de Souza, Bento Ferreira
57,/imovel/venda-apartamento-2-quartos-com-piscina-barro-vermelho-vitoria-es-87m2-id-2625661787/,650000.0,650.0,2,2,1,87,"Rua Doutor João Carlos de Souza, Barro Vermelho",Apartamento para venda possui 87 metros quadrados com 2 quartos em Barro Vermelho - Vitória - ES,Rua Doutor João Carlos de Souza, Barro Vermelho
58,/imovel/venda-apartamento-2-quartos-mobiliado-jardim-camburi-vitoria-es-60m2-id-2620037835/,670000.0,400.0,2,1,1,60,"Avenida Eugênio Pacheco de Queiroz, Jardim Camburi",Oportunidade: Apartamento 2 quartos com suíte em Jardim Camburi MOBILIADO!!,Avenida Eugênio Pacheco de Queiroz, Jardim Camburi
59,/imovel/venda-apartamento-3-quartos-com-churrasqueira-santa-lucia-vitoria-es-94m2-id-2581496304/,989292.0,,3,2,2,94,"Alameda Doutor Luiz Carlos Campinhos, Santa Lúcia","Apartamento 3 quartos em Santa Lúcia - Vitória, ES",Alameda Doutor Luiz Carlos Campinhos, Santa Lúcia
60,/imovel/venda-apartamento-3-quartos-com-armario-embutido-centro-vitoria-es-136m2-id-2626013355/,326000.0,160.0,3,2,0,136,"Rua Padre Nóbrega, Centro",Apartamento 3 quartos em Centro,Rua Padre Nóbrega, Centro
61,/imovel/venda-apartamento-2-quartos-mobiliado-jardim-camburi-vitoria-es-60m2-id-2625172080/,310000.0,300.0,2,1,1,60,"Rua Carlos Martins, Jardim Camburi",RARIDADE !!!! APTO 02 QUARTOS - JARDIM CAMBURI - VITORIA ES,Rua Carlos Martins, Jardim Camburi
62,/imovel/venda-apartamento-2-quartos-com-interfone-jardim-camburi-vitoria-es-55m2-id-2625727994/,450000.0,,2,1,1,55,Jardim Camburi,Apto 2 quartos em Jardim Camburi em frente a Faculdade Estácio,Jardim Camburi,
63,/imovel/venda-apartamento-2-quartos-mobiliado-jardim-da-penha-vitoria-es-60m2-id-2625898753/,660000.0,400.0,2,1,1,60,Jardim da Penha,"Apartamento para Venda em Vitória, Jardim da Penha, 2 dormitórios, 1 suíte, 1 banheiro, 1 vaga",Jardim da Penha,
64,/imovel/venda-apartamento-2-quartos-com-churrasqueira-praia-do-canto-vitoria-es-75m2-id-2620649344/,530000.0,540.0,2,2,1,75,"Avenida Rio Branco, Praia do Canto",Apartamento para venda tem 75 metros quadrados com 2 quartos em Praia do Canto - Vitória - ES,Avenida Rio Branco, Praia do Canto
65,/imovel/venda-apartamento-4-quartos-com-piscina-enseada-do-sua-vitoria-es-171m2-id-2625696338/,2300000.0,0.0,4,5,3,171,"Rua Abiail do Amaral Carneiro, Enseada do Suá",LANDSCAPE GREEN LIVING - 4 SUITES/ COZINHA COM ILHA/ 3 VAGAS,Rua Abiail do Amaral Carneiro, Enseada do Suá
66,/imovel/venda-apartamento-3-quartos-com-sala-de-jantar-jardim-da-penha-vitoria-es-101m2-id-2625972143/,990000.0,520.0,3,3,2,101,"Rua Oscar Rodrigues de Oliveira, Jardim da Penha","Apartamento 3Q com Suíte à venda, Novinho, Jardim da Penha, Vitória, ES",Rua Oscar Rodrigues de Oliveira, Jardim da Penha
67,/imovel/venda-apartamento-3-quartos-mobiliado-praia-do-canto-vitoria-es-105m2-id-2625715276/,1000000.0,800.0,3,3,1,105,"Avenida Rio Branco, Praia do Canto",Apartamento para venda com 105 metros quadrados com 3 quartos em Praia do Canto - Vitória - ES,Avenida Rio Branco, Praia do Canto
68,/imovel/venda-apartamento-2-quartos-com-piscina-jardim-da-penha-vitoria-es-64m2-id-2626018164/,730000.0,550.0,2,1,1,64,"Avenida Dante Michelini, Jardim da Penha",Apartamento para venda possui 64 metros quadrados com 2 quartos em Jardim da Penha - Vitória - ES,Avenida Dante Michelini, Jardim da Penha
69,/imovel/venda-apartamento-2-quartos-jardim-camburi-vitoria-es-94m2-id-2625489254/,420000.0,315.0,2,3,1,94,"Rua Carlos Romero Marangoni, Jardim Camburi","V329 - Apartamento com 94 m² com 2 quartos, suíte e dependência completa em Jd Camburi - Vitória/ES",Rua Carlos Romero Marangoni, Jardim Camburi
70,/imovel/venda-apartamento-2-quartos-com-piscina-enseada-do-sua-vitoria-es-75m2-id-2625923004/,450000.0,1000.0,2,2,1,75,Enseada do Suá,"Apartamento com 2 dormitórios à venda, 75 m² por R$ 450.000,00 - Enseada do Suá - Vitória/ES",Enseada do Suá,
71,/imovel/venda-apartamento-3-quartos-mobiliado-praia-do-canto-vitoria-es-120m2-id-2625715041/,790000.0,770.0,3,1,1,120,"Rua Saúl de Navarro, Praia do Canto",Apartamento para venda com 120 m² com 3 quartos com suíte na Praia do Canto - Vitória - ES,Rua Saúl de Navarro, Praia do Canto
72,/imovel/venda-apartamento-3-quartos-mobiliado-jardim-camburi-vitoria-es-75m2-id-2625197182/,360000.0,300.0,3,2,1,75,"Rua Milton Manoel dos Santos, Jardim Camburi",OPORTUNIDADE !!!! APTO 03QTS COM SUITE - JARDIM CAMBURI VITORIA ES,Rua Milton Manoel dos Santos, Jardim Camburi
73,/imovel/venda-apartamento-3-quartos-fradinhos-vitoria-es-100m2-id-2498879627/,340000.0,,3,1,0,100,Fradinhos,"Apartamento em Fradinhos! Com 3Qts, 1Suíte, 100m².",Fradinhos,
74,/imovel/venda-apartamento-2-quartos-mobiliado-jardim-da-penha-vitoria-es-80m2-id-2615624759/,499000.0,385.0,2,2,1,80,"Avenida Anísio Fernandes Coelho, Jardim da Penha",Lindo apartamento todo reformado 2 quartos com suite em Jardim da Penha,Avenida Anísio Fernandes Coelho, Jardim da Penha
75,/imovel/venda-apartamento-4-quartos-com-churrasqueira-jardim-da-penha-vitoria-es-110m2-id-2626021161/,1400000.0,600.0,4,3,2,110,"Rua Doutor Dido Fontes, Jardim da Penha",Apartamento para venda possui 110 metros quadrados com 4 quartos em Jardim da Penha - Vitória - ES,Rua Doutor Dido Fontes, Jardim da Penha
76,/imovel/venda-apartamento-2-quartos-santa-lucia-vitoria-es-73m2-id-2625750054/,250000.0,,2,1,1,73,"Alameda Doutor Luiz Carlos Campinhos, Santa Lúcia",Apartamento em Santa Lúcia Vitória,Alameda Doutor Luiz Carlos Campinhos, Santa Lúcia
77,/imovel/venda-apartamento-2-quartos-mobiliado-jardim-da-penha-vitoria-es-75m2-id-2625862886/,400000.0,316.0,2,1,1,75,"Rua Maria Eleonora Pereira, Jardim da Penha",Venda Apartamento 2 quartos Jardim da Penha Vitória,Rua Maria Eleonora Pereira, Jardim da Penha
78,/imovel/venda-apartamento-3-quartos-jardim-da-penha-vitoria-es-80m2-id-2625503955/,405000.0,320.0,3,2,1,80,"Rua Aristóbulo Barbosa Leão, Jardim da Penha",Apartamento para venda com 80 metros quadrados com 3 quartos em Jardim da Penha - Vitória - ES,Rua Aristóbulo Barbosa Leão, Jardim da Penha
79,/imovel/venda-apartamento-2-quartos-maruipe-vitoria-es-52m2-id-2611007789/,370000.0,350.0,2,2,1,52,"Rua Rui Barbosa, Maruípe",Apartamento com 2 dormitórios à venda em Vitória,Rua Rui Barbosa, Maruípe
80,/imovel/venda-apartamento-3-quartos-com-piscina-jardim-camburi-vitoria-es-72m2-id-2625985726/,720000.0,1.0,3,1,2,72,"Rua Gelu Vervloet dos Santos, Jardim Camburi",PS - Apartamento 3 Quartos com Suite Jardim Camburi,Rua Gelu Vervloet dos Santos, Jardim Camburi
81,/imovel/venda-apartamento-3-quartos-mobiliado-jardim-camburi-vitoria-es-70m2-id-2608357690/,610000.0,300.0,3,2,1,70,"Rua Arquiteto Décio Thevenard, Jardim Camburi",BaixouOportunidade-Porteira Fechada- Apartamento 3 quartos; 1 suíte em Jardim Camburi - Vitória - ES,Rua Arquiteto Décio Thevenard, Jardim Camburi
82,/imovel/venda-apartamento-3-quartos-com-churrasqueira-jardim-camburi-vitoria-es-83m2-id-2612492385/,690000.0,280.0,3,2,2,83,"Rua Ademar Luiz Nepomoceno, Jardim Camburi","Apartamento para venda com 83 metros quadrados com 3 quartos, suíte. SOL DA MANHÃ.",Rua Ademar Luiz Nepomoceno, Jardim Camburi
83,/imovel/venda-apartamento-2-quartos-mobiliado-jardim-camburi-vitoria-es-58m2-id-2625462868/,400000.0,300.0,2,1,1,58,"Rua Milthor de Oliveira Fernandes, Jardim Camburi",Apartamento de 2 quartos em Jardim Camburi - Vitória - ES,Rua Milthor de Oliveira Fernandes, Jardim Camburi
84,/imovel/venda-apartamento-2-quartos-mobiliado-republica-vitoria-es-60m2-id-2570490824/,600000.0,450.0,2,2,1,60,"Avenida Pedro Depiante, Republica",Apartamento para venda com 2 quartos suite e lazer em Morada de Camburi - Vitória - ES,Avenida Pedro Depiante, Republica
85,/imovel/venda-apartamento-2-quartos-com-churrasqueira-jardim-camburi-vitoria-es-58m2-id-2625795886/,400000.0,300.0,2,1,1,58,Jardim Camburi,"Apartamento em Jardim Camburi! Com 2 quartos, 1 vaga, 58m².",Jardim Camburi,
86,/imovel/venda-apartamento-3-quartos-com-piscina-jardim-camburi-vitoria-es-87m2-id-2617163094/,685000.0,420.0,3,2,2,87,"Rua Waldir Soares de Mello, Jardim Camburi",Apartamento para venda com 87 metros quadrados com 3 quartos em Jardim Camburi - Vitória - ES,Rua Waldir Soares de Mello, Jardim Camburi
87,/imovel/venda-apartamento-2-quartos-com-piscina-jardim-camburi-vitoria-es-67m2-id-2625699774/,630000.0,500.0,2,2,2,67,"Avenida Governador Eurico Rezende, Jardim Camburi","Apartamento com 2 dormitórios à venda, 67 m² por R$ 630.000,00 - Jardim Camburi - Vitória/ES",Avenida Governador Eurico Rezende, Jardim Camburi
88,/imovel/venda-apartamento-1-quarto-com-cozinha-goiabeiras-vitoria-es-44m2-id-2625416474/,180000.0,392.0,1,1,1,44,"Rua Sizenando Pechincha, Goiabeiras",Venda Apartamento 1 quarto Goiabeiras Vitória,Rua Sizenando Pechincha, Goiabeiras
89,/imovel/venda-apartamento-2-quartos-com-piscina-goiabeiras-vitoria-es-60m2-id-2623265489/,517999.0,500.0,2,2,1,60,"Avenida Pedro Depiante, Goiabeiras",Belíssimo Apartamento em Morada de Camburi - 02 qts c suíte,Avenida Pedro Depiante, Goiabeiras
